id,venue,year,authors,title,entityUrl
171,VLDB,1996,"Zenon Protopapas, Christos Faloutsos, Eliot Siegel, Flip Korn, Nikolaos Sidiropoulos",Fast Nearest Neighbor Search in Medical Image Databases,conf/vldb/KornSFSP96
172,SIGMOD Record,1994,"Amit P. Sheth, Wolfgang Klas",Metadata for Digital Media: Introduction to the Special Issue,journals/sigmod/KlasS94
173,SIGMOD Record,1996,Hugh Darwen,"In Reply to Domains, relations and Religious Wars",journals/sigmod/Darwen96
174,VLDB,1998,"Mark Jahnke, Felipe Cari�o",Bank of America Case Study: The Information Currency Advantage,conf/vldb/CarinoJ98
175,VLDB J.,2002,"Divesh Srivastava, SungRan Cho, Laks V. S. Lakshmanan, Sihem Amer-Yahia",Tree pattern query minimization,journals/vldb/Amer-YahiaCLS02
176,SIGMOD Conference,1994,"Michael J. Carey, Markos Zaharioudakis, Michael J. Franklin",Fine-Grained Sharing in a Page Server OODBMS,conf/sigmod/CareyFZ94
177,SIGMOD Record,1998,"Timothy J. Norman, Nicholas R. Jennings, Peyman Faratin",ADEPT: An Agent-Based Approach to Business Process Management,journals/sigmod/JenningsNF98
178,SIGMOD Record,2001,Alexandros Labrinidis,Introduction to the Career Forum Column,journals/sigmod/Labrinidis01
179,SIGMOD Conference,2000,"Kheng Guan Goh, Wynne Hsu, Mong-Li Lee",Image Mining in IRIS: Integrated Retinal Information System,conf/sigmod/HsuLG00
180,SIGMOD Conference,1994,Wesley P. Melling,Enterprise Information Architectures -- They're Finally Changing,conf/sigmod/Melling94
181,VLDB,2003,Nelson Mendon�a Mattos,Integrating Information for On Demand Computing,conf/vldb/Mattos03
182,VLDB J.,1995,"Anne Doucet, V�ronique Benzaken",Th�mis: A Database Programming Language Handling Integrity Constraints,journals/vldb/BenzakenD95
183,VLDB J.,1994,"Kotagiri Ramamohanarao, James Harland",An Introduction to Deductive Database Languages and Systems,journals/vldb/RamamohanaraoH94
184,VLDB,2002,Suryanarayana M. Sripada,Information Management Challenges from the Aerospace Industry,conf/vldb/Sripada02
185,SIGMOD Conference,1996,C. Mohan,State of the Art in Workflow Management Research and Products,conf/sigmod/Mohan96
186,SIGMOD Record,1999,"Amit P. Sheth, Kshitij Shah, Clemens Bertram",VideoAnywhere: A System for Searching and Managing Distributed Video Assets,journals/sigmod/ShethBS99
187,SIGMOD Record,2002,"Roger S. Barga, David B. Lomet",Phoenix Project: Fault-Tolerant Applications,journals/sigmod/BargaL02
188,SIGMOD Record,2002,"Michalis Vazirgiannis, Yannis Batistakis, Maria Halkidi",Cluster Validity Methods: Part I,journals/sigmod/HalkidiBV02
189,SIGMOD Conference,1995,William L. Gettys,DIRECTV and Oracle Rdb: The Challenges of VLDB Transaction Processing,conf/sigmod/Gettys95
190,SIGMOD Conference,1994,"Bharat K. Bhargava, Aidong Zhang, Marian H. Nodine, Omran A. Bukhres",Ensuring Relaxed Atomicity for Flexible Transactions in Multidatabase Systems,conf/sigmod/ZhangNBB94
191,SIGMOD Conference,1998,"Avishai Wool, Henry F. Korth, Yuri Breitbart, Todd A. Anderson","Replication, Consistency, and Practicality: Are These Mutually Exclusive?",conf/sigmod/AndersonBKW98
192,VLDB,2002,"Hans-Arno Jacobsen, Haifeng Liu",A-TOPSS - A Publish/Subscribe System Supporting Approximate Matching,conf/vldb/LiuJ02
193,ACM Trans. Database Syst.,2002,"Marco Patella, Paolo Ciaccia",Searching in metric spaces with user-defined and approximate distances,journals/tods/CiacciaP02
194,SIGMOD Conference,1996,"Leonid Libkin, Inderpal Singh Mumick, Latha S. Colby, Howard Trickey, Timothy Griffin",Algorithms for Deferred View Maintenance,conf/sigmod/ColbyGLMT96
195,VLDB,2000,"Stavros Christodoulakis, Nikos Pappas",Design and Development of a Stream Service in a Heterogenous Client Environment,conf/vldb/PappasC00
196,SIGMOD Conference,2002,"Wai Fu Fung, David Sun, Johannes Gehrke",COUGAR: the network is the database,conf/sigmod/FungSG02
197,SIGMOD Conference,1995,"David Maier, Peter Buneman",The Data That You Won't Find in Databases: Tutorial panel on data exchange formats,conf/sigmod/BunemanM95
198,VLDB J.,2000,"Christian S. Jensen, Kristian Torp, Richard T. Snodgrass",Effective Timestamping in Databases,journals/vldb/TorpJS00
199,ACM Trans. Database Syst.,2002,"Dan Suciu, Yana Kadiyska, Wang Chiew Tan, Mary F. Fernandez, Atsuyuki Morishima",SilkRoute: A framework for publishing relational data in XML,journals/tods/FernandezKSMT02
200,VLDB,2003,"Dimitris Papadias, Jimeng Sun, Yufei Tao",The TPR*-Tree: An Optimized Spatio-Temporal Access Method for Predictive Queries,conf/vldb/PapadiasTS03
201,SIGMOD Record,1996,Jennifer Widom,Editor's Notes,journals/sigmod/Widom96b
202,VLDB,2003,"Yannis Velegrakis, Lucian Popa, Ren�e J. Miller",Mapping Adaptation under Evolving Schemas,conf/vldb/VelegrakisMP03
203,VLDB,2003,"Gang Qian, Qiang Xue, Sakti Pramanik, Qiang Zhu",The ND-Tree: A Dynamic Indexing Technique for Multidimensional Non-ordered Discrete Data Spaces,conf/vldb/QianZXP03
204,SIGMOD Conference,1998,Arvola Chan,Transactional Publish / Subscribe: The Proactive Multicast of Database Changes,conf/sigmod/Chan98
205,SIGMOD Conference,2001,"Jarek Gryz, Calisto Zuzarte, Parke Godfrey",Exploiting Constraint-Like Data Characterizations in Query Optimization,conf/sigmod/GodfreyGXZ01
206,SIGMOD Conference,1996,"Sema Mancuhan, Ismailcem Budak Arpinar, Fatma Ozcan, Pinar Koksal, Asuman Dogac, G�khan �zhan, Cevdet Dengi, Ugur Halici, Cem Evrendilek, Sena Nural, Ebru Kilic",METU Interoperable Database System,conf/sigmod/DogacHKOONDMAKE96
207,VLDB,1996,"A. A. Diwan, S. Sudarshan, Sanjeeva Rane, S. Seshadri",Clustering Techniques for Minimizing External Path Length,conf/vldb/DiwanRSS96
208,VLDB,1998,Warren Sterling,The National Medical Knowledge Bank,conf/vldb/Sterling98
209,VLDB J.,2003,"Vijay Atluri, Anupam Joshi, Yelena Yesha",Guest editorial,journals/vldb/AtluriJY03
210,SIGMOD Record,2003,"Amihai Motro, Troels Andreasen",Report on FQAS 2002: fifth international conference on flexible query answering systems,journals/sigmod/MotroA03
211,VLDB,2002,"Philip S. Yu, Charu C. Aggarwal",An Automated System for Web Portal Personalization,conf/vldb/AggarwalY02
212,VLDB,2001,"Fran�oise Fabret, Dennis Shasha, Hans-Arno Jacobsen, Fran�ois Llirbat, Jo�o Pereira",WebFilter: A High-throughput XML-based Publish and Subscribe System,conf/vldb/PereiraFJLS01
213,SIGMOD Record,1997,"Denis Gouin, Henry Kucera, Christian Larouche, Gilles Clement, Paul Morin",OGDI: Toward Interoperability among Geospatial Databases,journals/sigmod/ClementLGMK97
214,SIGMOD Record,2000,Michael J. Franklin,Editor's Notes,journals/sigmod/Franklin00
215,SIGMOD Conference,1998,"Ambuj K. Singh, Kothuri Venkata Ravi Kanth, Divyakant Agrawal",Dimensionality Reduction for Similarity Searching in Dynamic Databases,conf/sigmod/KanthAS98
216,VLDB,2000,"Asaf Adi, David Botzer, Tali Yatzkar-Haham, Opher Etzion",Push Technology Personalization through Event Correlation,conf/vldb/AdiBEY00
217,VLDB,1998,Amy Pogue,Oracle Industrial Exhibit,conf/vldb/Pogue98
218,VLDB,1997,"Khaled Alsabti, Vineet Singh, Sanjay Ranka",A One-Pass Algorithm for Accurately Estimating Quantiles for Disk-Resident Data,conf/vldb/AlsabtiRS97
219,SIGMOD Record,2001,Ling Liu,Editor's Notes,journals/sigmod/Liu01a
220,VLDB,2002,"Ren�e J. Miller, Ronald Fagin, Yannis Velegrakis, Mauricio A. Hern�ndez, Lucian Popa",Translating Web Data,conf/vldb/PopaVMHF02
221,SIGMOD Conference,1996,Philip A. Bernstein,Repository System Engineering,conf/sigmod/Bernstein96
222,SIGMOD Record,2000,"Z. Meral �zsoyoglu, Stefano Ceri, Victor Vianu, Masaru Kitsuregawa, Leonid A. Kalinichenko, Hongjun Lu, Richard T. Snodgrass",SIGMOD Sister Societies,journals/sigmod/CeriKKLOSV00
223,VLDB J.,2001,"Michael Gertz, Can T�rker",Semantic integrity support in SQL: 1999 and commercial (object-)relational database management systems,journals/vldb/TurkerG01
224,VLDB J.,1995,"Alfons Kemper, Donald Kossmann","Adaptable Pointer Swizzling Strategies in Object Bases: Design, Realization, and Quantitative Analysis",journals/vldb/KemperK95
225,SIGMOD Conference,2002,Paul Cotton,Implementing XQuery,conf/sigmod/Cotton02
226,VLDB,1998,"Soumen Chakrabarti, Byron Dom, Sunita Sarawagi",Mining Surprising Patterns Using Temporal Description Length,conf/vldb/ChakrabartiSD98
227,SIGMOD Conference,2002,"Like Gao, Xiaoyang Sean Wang",Continually evaluating similarity-based pattern queries on a streaming time series,conf/sigmod/GaoW02
228,VLDB,2003,"Dimitrios Gunopulos, Nick Koudas, Divesh Srivastava, Michail Vlachos, Sudipto Guha",Efficient Approximation Of Optimization Queries Under Parametric Aggregation Constraints,conf/vldb/KoudasGGSV03
229,VLDB J.,1994,"Kotagiri Ramamohanarao, David B. Kemp, Jayen Vaghani, Tim S. Leask, James Harland, Peter J. Stuckey, Zoltan Somogyi",The Aditi Deductive Database System,journals/vldb/VaghaniRKSSLH94
230,SIGMOD Conference,1999,"Vivek R. Narasayya, Surajit Chaudhuri, Rajeev Motwani",On Random Sampling over Joins,conf/sigmod/ChaudhuriMN99
231,VLDB,2001,"Paolo Ciaccia, Florian Waas, Ilaria Bartolini",FeedbackBypass: A New Approach to Interactive Similarity Query Processing,conf/vldb/WaasCB01
232,SIGMOD Conference,1999,"Maria Luisa Sapino, Sibel Adali, V. S. Subrahmanian",A Multimedia Presentation Algebra,conf/sigmod/AdaliSS99
233,ACM Trans. Database Syst.,1995,"Letizia Tanca, Piero Fraternali",A Structured Approach for the Definition of the Semantics of Active Databases,journals/tods/FraternaliT95
234,VLDB,1994,"Ramakrishnan Srikant, Rakesh Agrawal",Fast Algorithms for Mining Association Rules in Large Databases,conf/vldb/AgrawalS94
235,VLDB,2003,Peter Baumann,"Large-Scale, Standards-Based Earth Observation Imagery and Web Mapping Services",conf/vldb/Baumann03
236,SIGMOD Conference,1994,"Kaizhong Zhang, Jason Tsong-Li Wang, Bruce A. Shapiro, Thomas G. Marr, Gung-Wei Chirn, Dennis Shasha",Combinatorial Pattern Discovery for Scientific Data: Some Preliminary Results,conf/sigmod/WangCMSSZ94
237,SIGMOD Conference,1996,"David J. DeWitt, Jignesh M. Patel",Partition Based Spatial-Merge Join,conf/sigmod/PatelD96
238,VLDB,2003,"Christoph Schuler, Hans-J�rg Schek, Patrick Neukomm, Roger Weber, Heiko Schuldt",WebService Composition with O'GRAPE and OSIRIS,conf/vldb/WeberSNSS03
239,VLDB,1999,"Daniel A. Keim, Alexander Hinneburg",Optimal Grid-Clustering: Towards Breaking the Curse of Dimensionality in High-Dimensional Clustering,conf/vldb/KeimH99
240,SIGMOD Record,1995,"Silke Mittrach, Gunter Schlageter, Thomas Berkel, Andreas Scherer, Eberhard Heuel, Wolfgang Wilkes",The Database Group at University of Hagen (FernUniversitaet),journals/sigmod/SchlageterBHMSW95
241,SIGMOD Conference,2003,"Antonios Deligiannakis, Nick Roussopoulos",Extended Wavelets for Multiple Measures,conf/sigmod/DeligiannakisR03
242,VLDB,2003,"Nathan Folkert, Abhinav Gupta, Andrew Witkowski, Srikanth Bellamkonda, Lei Sheng, Tolga Bozkaya, Sankar Subramanian",Business Modelling Using SQL Spreadsheets,conf/vldb/WitkowskiBBFGSS03
243,SIGMOD Conference,1998,"Thomas Seidl, Hans-Peter Kriegel",Optimal Multi-Step k-Nearest Neighbor Search,conf/sigmod/SeidlK98
244,SIGMOD Conference,2002,Charu C. Aggarwal,"Hierarchical subspace sampling: a unified framework for high dimensional data reduction, selectivity estimation and nearest neighbor search",conf/sigmod/Aggarwal02
245,VLDB J.,1996,"Shahram Ghandeharizadeh, Doug Fang",An Experimental System for Object-Based Sharing in Federated Databases,journals/vldb/FangGM96
246,SIGMOD Conference,1995,Kenneth Moore,The Lotus Notes Storage System,conf/sigmod/Moore95
247,VLDB,2003,"Bernd Amann, Serge Abiteboul, J�r�me Baumgarten, Omar Benjelloun, Tova Milo, Frederic Dang Ngoc",Schema-driven Customization of Web Services,conf/vldb/AbiteboulABBNM03
248,ACM Trans. Database Syst.,1994,"Christos A. Polyzois, Hector Garcia-Molina",Evaluation of Remote Backup Algorithms for Transaction-Processing Systems,journals/tods/PolyzoisG94
249,SIGMOD Conference,1998,Ren�e J. Miller,Using Schematically Heterogeneous Structures,conf/sigmod/Miller98
250,VLDB,1999,"Donald Kossmann, Alfons Kemper, Christian Wiesner",Generalised Hash Teams for Join and Group-by,conf/vldb/KemperKW99
251,SIGMOD Conference,2002,"Bryan Smith, Meikel P�ss, Lubor Koll�r, Per-�ke Larson","TPC-DS, taking decision support benchmarking to the next level",conf/sigmod/PossSKL02
252,VLDB,1998,"Shivakumar Venkataraman, Tian Zhang",Heterogeneous Database Query Optimization in DB2 Universal DataJoiner,conf/vldb/VenkataramanZ98
253,VLDB,1995,"Tore Risch, Staffan Flodin",Processing Object-Oriented Queries with Invertible Late Bound Functions,conf/vldb/FlodinR95
254,SIGMOD Record,2002,Ronald Fagin,Combining Fuzzy Information: an Overview,journals/sigmod/Fagin02
255,VLDB,2003,"Matthias Gro�mann, Thomas Schwarz, Daniela Nicklas","NexusScout: An Advanced Location-Based Application on a Distributed, Open Mediation Platform",conf/vldb/NicklasGS03
256,VLDB,1998,"Xiaowei Xu, Michael Wimmer, J�rg Sander, Martin Ester, Hans-Peter Kriegel",Incremental Clustering for Mining in a Data Warehousing Environment,conf/vldb/EsterKSWX98
257,SIGMOD Conference,2003,"Ravi Kumar, D. Sivakumar, Ronald Fagin",Efficient similarity search and classification via rank aggregation,conf/sigmod/FaginKS03
258,VLDB J.,1997,"Hans-Peter Kriegel, Stefan Berchtold, Daniel A. Keim",Using Extended Feature Objects for Partial Similarity Retrieval,journals/vldb/BerchtoldKK97
259,VLDB J.,2003,"Athman Bouguettaya, Brahim Medjahed, Ahmed K. Elmagarmid",Composing Web services on the Semantic Web,journals/vldb/MedjahedBE03
260,SIGMOD Conference,2003,"Amol Deshpande, Suman Kumar Nath, Phillip B. Gibbons, Srinivasan Seshan",IrisNet: Internet-scale Resource-Intensive Sensor Services,conf/sigmod/DeshpandeNGS03a
261,SIGMOD Conference,1997,"Ching-Tien Ho, Rakesh Agrawal, Nimrod Megiddo, Ramakrishnan Srikant",Range Queries in OLAP Data Cubes,conf/sigmod/HoAMS97
262,SIGMOD Conference,2003,"Tapas Kanungo, Frederick Reiss",A Characterization of the Sensitivity of Query Optimization to Storage Access Cost Parameters,conf/sigmod/ReissK03
263,VLDB,1999,"Bhaskaran Raman, Joseph M. Hellerstein, Vijayshankar Raman",Online Dynamic Reordering for Interactive Data Processing,conf/vldb/RamanRH99
264,VLDB J.,2000,"Cheng Hian Goh, Beng Chin Ooi, Kian-Lee Tan",Progressive evaluation of nested aggregate queries,journals/vldb/TanGO00
265,ACM Trans. Database Syst.,1995,H. V. Jagadish,The INCINERATE Data Model,journals/tods/Jagadish95
266,SIGMOD Record,1999,"Amit P. Sheth, Aris M. Ouksel",Semantic Interoperability in Global Information Systems: A Brief Introduction to the Research Area and the Special Section,journals/sigmod/OukselS99
267,SIGMOD Conference,2000,"Arvind Rajendran, David Maier, Leonidas Fegaras, Chandrasekhar Srinivasan",lambda-DB: An ODMG-Based Object-Oriented DBMS,conf/sigmod/FegarasSRM00
268,SIGMOD Conference,1996,Jos� A. Blakeley,Data Access for the Masses through OLE DB,conf/sigmod/Blakeley96
269,SIGMOD Conference,1999,"Nikos Mamoulis, Dimitris Papadias",Integration of Spatial Join Algorithms for Processing Multiple Inputs,conf/sigmod/MamoulisP99
270,SIGMOD Record,2002,"Bay-Wei Chang, Yo�lle S. Maarek, Aya Soffer",Report on the Mobile Search Workshop at WWW 2002,journals/sigmod/SofferMC02
271,SIGMOD Conference,1996,"Ming-Ling Lo, Chinya V. Ravishankar",Spatial Hash-Joins,conf/sigmod/LoR96
272,VLDB J.,1994,"King-Ip Lin, H. V. Jagadish, Christos Faloutsos",The TV-Tree: An Index Structure for High-Dimensional Data,journals/vldb/LinJF94
273,VLDB,1994,"Beat W�thrich, Suryanarayana M. Sripada",Cumulative Updates,conf/vldb/SripadaW94
274,SIGMOD Record,2003,"Nina Edelweiss, Ana Carolina Salgado",Report on the 17th Brazilian Symposium on Database Systems (SBBD 2002),journals/sigmod/SalgadoE03
275,SIGMOD Record,2001,Richard T. Snodgrass,Accessibility of the Database Literature,journals/sigmod/Snodgrass01a
276,SIGMOD Record,2002,Michael Stonebraker,Too Much Middleware,journals/sigmod/Stonebraker02
277,SIGMOD Conference,2001,Arnon Rosenthal,Will Database Researchers Have ANY Role in Data Security? (Panel Abstract),conf/sigmod/Rosenthal01
278,SIGMOD Conference,1998,"Ashok Josji, Tirthankar Lahiri, Amit Jasuja, Sumanta Chatterjee","50,000 Users on an Oracle8 Universal Server Database",conf/sigmod/LahiriJJC98
279,VLDB,2000,"Hector Garcia-Molina, Kevin Chen-Chuan Chang",Approximate Query Translation Across Heterogeneous Information Sources,conf/vldb/ChangG00
280,VLDB,2000,Carsten Blecken,Media360 Workflow-Implementing a Workflow Engine Inside a Database,conf/vldb/Blecken00
281,SIGMOD Conference,2003,"Bin He, Kevin Chen-Chuan Chang",Statistical Schema Matching across Web Query Interfaces,conf/sigmod/HeC03
282,VLDB J.,1999,"Jen-Wen Ding, Yueh-Min Huang, Shiao-Li Tsao",Constant Time Permutation: An Efficient Block Allocation Strategy for Variable-Bit-Rate Continuous Media Data,journals/vldb/HuangDT99
283,ACM Trans. Database Syst.,2000,"Donald Kossmann, Gerhard Drasch, Michael J. Franklin",Cache investment: integrating query optimization and distributed data placement,journals/tods/KossmannFDA00
284,SIGMOD Record,1997,Michael J. Franklin,Editor's Notes,journals/sigmod/Franklin97b
285,SIGMOD Record,1998,Alberto O. Mendelzon,Information Director's Message,journals/sigmod/Mendelzon98
286,SIGMOD Record,2001,"Jennifer Widom, Shivnath Babu",Continuous Queries over Data Streams,journals/sigmod/BabuW01
287,SIGMOD Record,1997,Joseph Fong,Converting Relational to Object-Oriented Databases,journals/sigmod/Fong97
288,SIGMOD Conference,1995,"Wen-Chi Hou, Zhongyang Zhang",Enhancing Database Correctness: a Statistical Approach,conf/sigmod/HouZ95
289,SIGMOD Record,1994,"Andreas Geppert, Klaus R. Dittrich",Constructing the Next 100 Database Management Systems,journals/sigmod/GeppertD94
290,SIGMOD Conference,2001,"Guozhu Dong, Jian Pei, Jiawei Han, Ke Wang",Efficient Computation of Iceberg Cubes with Complex Measures,conf/sigmod/HanPDW01
291,VLDB,2001,"Brian Cooper, G�sli R. Hjaltason, Michael J. Franklin, Neal Sample, Moshe Shadmon",A Fast Index for Semistructured Data,conf/vldb/CooperSFHS01
292,SIGMOD Conference,2002,"Michael Jones, Pankaj K. Agarwal, T. M. Murali, Cecilia Magdalena Procopiuc",A Monte Carlo algorithm for fast projective clustering,conf/sigmod/ProcopiucJAM02
293,SIGMOD Record,2003,"Mario Piattini, Francisco Ruiz, Coral Calero",Towards a database body of knowledge: a study from Spain,journals/sigmod/CaleroPR03
294,VLDB,2003,"Subbarao Kambhampati, Zaiqing Nie, Thomas Hernandez",BibFinder/StatMiner: Effectively Mining and Using Coverage and Overlap Statistics in Data Integration,conf/vldb/NieKH03
295,SIGMOD Conference,2002,Christoph Bussler,Software as a service: ASP and ASP aggregation,conf/sigmod/Bussler02
296,VLDB,2000,"Gustavo Alonso, Guy Pardon",CheeTah: a Lightweight Transaction Server for Plug-and-Play Internet Data Management,conf/vldb/PardonA00
297,SIGMOD Record,2001,"Nick Koudas, Dimitrios Gunopulos",DIMACS Summer School Tutorial on New Frontiers in Data Mining,journals/sigmod/GunopulosK01
